Restaurant Name,Rating,No. reviews,Price tag
Smoky Rose,None,588,None
Hillstone Restaurant,4,586,None
Medieval Times Dinner & Tournament,4,583,None
Banana Leaf Thai Cuisine,4,583,$$
Olive Burger - Richardson,4.5,582,$$
Flower Child,4.5,582,None
Avila’s Mexican Restaurant,4,580,$$
Wild Salsa,None,579,$$
Dog Haus,4,576,None
Medina Oven & Bar,4.5,576,$$$
Sundown at Granada,4,576,$$
Torchy’s Tacos,4,576,$$
Sweet Georgia Brown Homecooking,4,574,$$
Gyu-Kaku Japanese BBQ,4,573,None
Pakpao Thai - Design District,None,573,$$
Baboush,4,573,$$
Shake Shack,None,572,$$
Kebabs To Go,4.5,571,None
Chamberlain’s Steak & Chop House,4.5,571,None
Chop House Burger,4,571,$$
Pepe’s & Mito’s Mexican Café,4,569,$$
Tei Tei Robata Bar,4.5,567,$$$
Neighborhood Services,4,567,None
Maru Ramen,4,567,None
Sushi Yokohama,4,565,$$
Boulevardier,4,565,$$$
Henry’s Majestic,None,565,None
Ali Baba Mediterranean Grill,4,564,None
Oni Ramen,4,561,$$
Pappadeaux Seafood Kitchen,4,560,None
Grub Burger Bar,4,559,$$
Meso Maya Comida y Copas,4,553,$$
Zenna Restaurant - North Dallas,None,553,None
H Mart - Carrollton,4.5,549,None
Awake,4,548,None
WingBucket,4,548,$$
Thirsty Lion Gastropub & Grill,4,547,None
Sip Stir Coffee House,4.5,547,$$
R+D Kitchen,4,546,None
Frankie’s Downtown,4,545,$$
Torchy’s Tacos,None,544,$
Topgolf,4,543,$$
Fujiyama Sushi & Yakitori Bar,4.5,542,None
Magic Time Machine,None,541,None
Texas de Brazil,4,539,None
La La Land Kind Cafe,4.5,537,$
Gabriela & Sofia’s Tex-Mex,4.5,536,$$
Mumtaz Indian Restaurant,4,536,$$
Jam + Toast,4.5,534,None
Zaguán Latin Café and Bakery,4,528,$$
El Come Taco,4.5,527,$
Pho Empire,4,518,None
Roti Grill,None,518,$$
Stock & Barrel,4,516,$$
Gemma,4.5,515,$$$
Stackhouse,4,514,$$
Ricky’s Hot Chicken,4.5,514,None
Bucky Moonshine’s,4,514,$$
Uncle Julio’s,None,514,None
Fadi’s Mediterranean Grill,4,513,$$
Studio Movie Grill,None,512,$$
Sura Korean Bistro,4,511,None
18th & Vine Barbeque,None,511,$$
Yolk Preston Center,4,509,None
Gators,None,508,$$
